soc_code_clean,AIOE,Title,Description,Employment,Mean_Wage,has_employment_data,has_wage_data,Employment_log,Mean_Wage_log
13-1161,3.9139962582738024,Market Research Analysts and Marketing Specialists; Search Marketing Strategists,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.; Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",6130950.0,86226.98131610925,True,True,15.628860434541952,11.36475001321321
13-1199,3.742270511948417,Business Continuity Planners; Sustainability Specialists; Online Merchants; Security Management Specialists,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.; Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.; Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.; Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",8589580.0,91875.72962822395,True,True,15.966060515122342,11.428203062223364
13-2011,3.775911197639071,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",10515140.0,93082.01196560387,True,True,16.168326776444154,11.441246975784008
13-2031,3.712520743688717,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",369110.0,93425.70046869497,True,True,12.818852690795632,11.444932455619082
13-2041,3.710596148115716,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,467200.0,98123.30928938356,True,True,13.054514850904823,11.49399041597085
13-2052,3.7936049147187023,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",1876200.0,157336.47868031127,True,True,14.444759545666065,11.966148323096844
13-2053,3.462688908522745,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,826410.0,90858.42789898477,True,True,13.62484750744438,11.417068842782287
13-2061,4.095193458625127,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",446240.0,104364.72301900324,True,True,13.008614443805381,11.555656576947925
13-2071,3.562799231673403,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",227810.0,56061.80018436416,True,True,12.336271616801298,10.934227773245933
13-2072,3.5576430513095176,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",2088890.0,85613.09432282217,True,True,14.552143861101746,11.357605201879963
13-2081,3.9008809171963903,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,420720.0,67622.10543829626,True,True,12.949725185138135,11.121705000056465
13-2082,3.457264004976228,Tax Preparers,Prepare tax returns for individuals or small businesses.,496170.0,59031.31708890098,True,True,13.114675904356174,10.985840320198585
13-2099,3.851800524380296,"Financial Quantitative Analysts; Fraud Examiners, Investigators and Analysts","Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.; Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",948750.0,93219.60084321476,True,True,13.762901661709867,11.44272401533843
15-1211,3.9061227524231743,Computer Systems Analysts; Health Informatics Specialists,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.; Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",3639340.0,111395.56518489616,True,True,15.107313179266445,11.620851772830274
15-1212,3.8378122152113714,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",1275650.0,127174.74463998746,True,True,14.058967194504138,11.753325224912569
15-1221,3.9460203566585266,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",280190.0,149740.20842999397,True,True,12.543226792454842,11.916663805940399
15-1231,3.573615287649003,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",1083850.0,79166.491673202,True,True,13.89603099765954,11.279321034869607
15-1232,3.5568462556241003,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",5189700.0,64828.33369944313,True,True,15.462186642692526,11.079513460458399
15-1241,3.6458620565333386,Computer Network Architects; Telecommunications Engineering Specialists,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.; Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",1257930.0,135603.81706454256,True,True,14.04497886577165,11.817500177932265
15-1242,3.808243716949316,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",534860.0,106609.9403582246,True,True,13.189762179036764,11.57694141544989
15-1243,3.734186480787926,Database Architects; Data Warehousing Specialists,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.; Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",453270.0,139422.70103911575,True,True,13.024245459590134,11.845272784657896
15-1244,3.743393511966662,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",2379760.0,100667.45323057788,True,True,14.682510620437148,11.519587754855037
15-1251,3.590140547124293,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",791110.0,101702.56424517452,True,True,13.581193565602492,11.529817628081082
15-1252,3.56895337654519,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",11641550.0,144431.11194815123,True,True,16.270091238813595,11.880564862630075
15-1253,3.724062774472168,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",1400790.0,110128.8881988021,True,True,14.152547635033082,11.6094157499837
15-1254,3.6392495784368153,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",551480.0,98705.29992021467,True,True,13.220362665586308,11.499904052363462
15-1255,3.8152401889367584,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",777070.0,111560.57639594888,True,True,13.563287002266529,11.622331972118007
15-1299,3.770788868299404,Web Administrators; Geographic Information Systems Technologists and Technicians; Document Management Specialists; Information Security Engineers; Computer Systems Engineers/Architects; Information Technology Project Managers,"Manage web environment design, deployment, development and maintenance activities. Perform testing and quality assurance of web sites and web applications.; Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.; Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents.; Develop and oversee the implementation of information security procedures and policies. Build, maintain and upgrade security technology, such as firewalls, for the safe use of computer networks and the transmission and retrieval of information. Design and implement appropriate security controls to identify vulnerabilities and protect digital files and electronic infrastructures. Monitor and respond to computer security breaches, viruses, and intrusions, and perform forensic investigation. May oversee the assessment of information security systems.; Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions.; Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",3226630.0,115850.52667953871,True,True,14.98694911680455,11.660064707844807
15-2011,4.045916740293623,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",204270.0,134266.4600773486,True,True,12.22720282261461,11.80758906035658
15-2021,4.04512417544326,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",15720.0,120521.48854961833,True,True,9.662752677191515,11.699591641467988
15-2031,3.9636562581174273,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",790260.0,98559.07524105992,True,True,13.580118549626668,11.498421542170666
15-2041,4.00371085934602,Statisticians; Biostatisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians.; Develop and apply biostatistical theory and methods to the study of life sciences.",227080.0,111095.40162057424,True,True,12.333062061009333,11.6181535864495
15-2051,3.8385584928149656,Business Intelligence Analysts; Clinical Data Managers,"Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.; Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",1686620.0,123535.51576525831,True,True,14.338237677130188,11.724292065559782
15-2099,3.923432849176378,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.",30180.0,83892.02120609675,True,True,10.31496786629908,11.337297709092162
